Metric,N,Mean_Before,Mean_During,Mean_Change,Std_Change,Mean_PctChange,T_stat,P_value,Wilcoxon_p,Cohens_d
AccMag_mean,21,1.000606845370789,1.0135950039872927,0.012988158616503435,0.032457772325231775,1.2984782091919973,-1.8337432218646534,0.08161758341027096,,0.40015557710985605
AccMag_std,20,0.00722691015546547,0.09589461973881849,0.08844906278444384,0.04655253367493646,1484.3054754208274,-8.49698614959149,6.769363781780481e-08,,1.8999838634360766
Alpha_Delta_Ratio,21,1.5844855025667453,0.7673791577957952,-0.8171063447709499,1.5101518882137743,-39.02774941142789,2.479519911186247,0.022181340719411045,,-0.5410756038171982
Alpha_mean,21,0.5276776222323087,0.6773986598053942,0.1497210375730853,0.2529477571690049,36.963767041103004,-2.7124493827694764,0.01340745126362245,,0.5919049816798749
Beta_mean,21,0.48551748903361547,0.6096017708346964,0.12408428180108097,0.2451111155181684,36.07622767077005,-2.3198687366976496,0.031040324425973716,,0.506236861346598
Calmness_Index,21,1.5844855025667453,0.7673791577957952,-0.8171063447709499,1.5101518882137743,-39.02774941142789,2.479519911186247,0.022181340719411045,,-0.5410756038171982
Delta_mean,21,0.4254995215607902,0.9021317848288462,0.4766322632680562,0.4321906795932016,199.20187495883377,-5.053795762416403,6.074327978561992e-05,,1.1028286489581058
Engagement_Index,21,0.6215630335753042,0.49901612037353277,-0.12254691320177129,0.3809678116906771,1.475372526602096,1.4740891190730558,0.156024656945067,,-0.3216726175839548
Focus_Index,21,0.7122035275240913,1.2046289544184483,0.4924254268943569,0.6730383936799756,110.29231642750243,-3.3528203057273402,0.003167569426050482,,0.7316453734562152
Frontal_Alpha_Asymmetry,17,-0.21072018179147267,-0.11769057544670293,0.10419434781970456,1.6858545876198103,-56.48868279983545,-0.254828800068414,0.802101771179622,,0.061805062301851524
Gamma_mean,21,0.1819097648149234,0.30694439493476217,0.1250346301198387,0.2607118272398523,-41.30363017188629,-2.197754751217442,0.039910730812992255,,0.4795894050667984
HeartRate_mean,21,78.2671019421932,97.94947764228725,19.682375700094035,12.181447418489567,26.817931103808593,-7.404372682784537,3.770783683683213e-07,,1.6157665853582563
HeartRate_std,20,5.15863041453208,12.265972597657019,7.000417990255824,4.85296492892369,159.16019581137294,-6.451070933494736,3.491841173456428e-06,,1.4425033134967256
Meditation_Index,21,1.9997713546307523,2.3510323182075745,0.3512609635768225,1.2878153925462872,37.069037688464086,-1.249930668316701,0.22575370736649508,,0.27275723338133445
Relative_Alpha,21,0.28949527554144183,0.20568507987648876,-0.08381019566495307,0.07729538858667559,-25.034633540868278,4.968816027272212,7.384037295711423e-05,,-1.0842845504421272
Relative_Beta,21,0.24774759634892612,0.19060621881745618,-0.05714137753146999,0.05596093989499359,-19.545716656002362,4.679240347702529,0.0001442021811646075,,-1.0210939565827772
Relative_Delta,21,0.2358899416828281,0.27643441091297494,0.04054446923014683,0.09443962662639971,59.025801738846475,-1.9673743522299958,0.06316568155210248,,0.42931628044803183
Relative_Gamma,21,0.07012189528703694,0.11766604024608286,0.04754414495904591,0.1522481021279981,-90.37904460532441,-1.431049977513738,0.1678566261796453,,0.3122807069153123
Relative_Theta,21,0.15674529113976707,0.20960825014699733,0.05286295900723028,0.06428770087346976,47.90296903366301,-3.7681937263049874,0.001208975491722506,,0.8222872849547768
Theta_Beta_Ratio,21,0.7122035275240913,1.2046289544184483,0.4924254268943569,0.6730383936799756,110.29231642750243,-3.3528203057273402,0.003167569426050482,,0.7316453734562152
Theta_mean,21,0.2943245894506544,0.7032939115432878,0.40896932209263315,0.3045675653843664,190.00072461203004,-6.153422387702702,5.180188265099756e-06,,1.3427868511754066
